customer_registration_number,merchandize_category,amount_deposited_via_counter,amount_deposited_via_card,balance_on_complaign_date,transaction_date,complaint_date,restaurant_points,fuel_points,groceries_points,toys_points,cash_back_points,electronics,complained,Order_tyPe,amount,quantity,card_vendor,used_coupon,product_discounted,cust_age,cust_gender
642580ed9a53006421b72c46,Breakfast,54100.0,53700.0,120200.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,51,Male
6425810e9a53006421b72c47,,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,2.0,Visa,No,no,84,Male
642581549a53006421b72c48,Guns and weaponry,0.0,536.0,1.0,2023-03-15,2023-03-29,0,0,1,0,0,0,YES,Pickup,3000.0,1.0,Mastercard,No,YEs,62,Male
642581759a53006421b72c49,Frozen,0.0,1828.54,582.3,2023-03-15,2023-03-29,0,1,0,0,0,0,YES,Order via website,22500.0,2.0,Mastercard,No,YEs,73,Female
642581759a53006421b72c49,Condiment,0.0,1828.54,582.3,2023-03-15,2023-03-29,0,1,0,0,0,0,YES,Order via website,22500.0,2.0,Mastercard,No,YEs,73,Female
642581969a53006421b72c4a,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,31,Male
642581969a53006421b72c4a,others,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,31,Male
642581b69a53006421b72c4b,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,80,Male
642581d89a53006421b72c4c,others,0.0,4480.0,4480.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,76,Male
642581ff9a53006421b72c4d,Breakfast,0.0,4100.0,4100.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,15,Female
642582269a53006421b72c4e,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,48,Female
6425824b9a53006421b72c4f,,0.0,29100.0,272494.0,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,20000.0,7.0,Visa,No,no,99,Female
6425826d9a53006421b72c50,Breakfast,0.0,4100.0,259800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,12,Male
642582919a53006421b72c51,Dairy,0.0,633477.01,673649.01,2023-03-15,2023-03-29,1,0,2,0,0,0,NO,Pickup,330000.0,9.0,Visa,No,no,45,Male
642582b99a53006421b72c52,Breakfast,0.0,13979.0,9679.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,69,Female
642582dd9a53006421b72c53,,0.0,10995.0,2191.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,4.0,Visa,No,no,71,Male
642582ff9a53006421b72c54,Breakfast,0.0,494100.0,549800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,64,Male
642583219a53006421b72c55,Breakfast,0.0,166272.63,158772.66,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,3501525.5,9.0,Visa,No,no,9,Female
642583439a53006421b72c56,Breakfast,0.0,211219.01,46689.01,2023-03-15,2023-03-29,0,5,0,0,0,0,NO,Order via website,652000.0,6.0,Visa,No,no,90,Female
642583609a53006421b72c57,,0.0,257971.75,245695.75,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,10.0,Visa,No,no,67,Female
642583819a53006421b72c58,Breakfast,0.0,1114.27,6906.89,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,95,Female
642583a69a53006421b72c59,Meat & Seafood,0.0,555.18,131830.62,2023-03-15,2023-03-29,2,0,13,0,1,0,NO,Pickup,166566.67,11.333333,Visa,No,no,76,Male
642583a69a53006421b72c59,Alcohol,0.0,555.18,131830.62,2023-03-15,2023-03-29,2,0,13,0,1,0,NO,Pickup,166566.67,11.333333,Visa,No,no,76,Male
642583a69a53006421b72c59,others,0.0,555.18,131830.62,2023-03-15,2023-03-29,2,0,13,0,1,0,NO,Pickup,166566.67,11.333333,Visa,No,no,76,Male
642583d29a53006421b72c5a,,0.0,1.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,27.0,Visa,No,no,13,Female
642583fd9a53006421b72c5b,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,4,Male
642583fd9a53006421b72c5b,others,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,4,Male
642584279a53006421b72c5c,others,0.0,4100.0,1.35,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,32,Female
642584529a53006421b72c5d,Condiment,0.0,248.66,2975.31,2023-03-15,2023-03-29,0,0,3,0,2,0,NO,Pickup,51120.66,11.0,Visa,No,no,39,Female
642584829a53006421b72c5e,Breakfast,0.0,640.0,1.01,2023-03-15,2023-03-29,0,0,1,0,0,0,YES,Pickup,1250.0,1.0,Mastercard,No,YEs,60,Male
642584829a53006421b72c5e,Guns and weaponry,0.0,640.0,1.01,2023-03-15,2023-03-29,0,0,1,0,0,0,YES,Pickup,1250.0,1.0,Mastercard,No,YEs,60,Male
642584b09a53006421b72c5f,,4100.0,295307.77,33467.77,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,3.0,Visa,No,no,72,Female
642584dd9a53006421b72c60,Breakfast,0.0,4100.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,20,Male
642585069a53006421b72c61,Dairy,0.0,5730665.43,5559056.43,2023-03-15,2023-03-29,1,0,1,0,0,0,YES,Pickup,7333.3335,1.0,Mastercard,No,YEs,14,Female
642585069a53006421b72c61,Breakfast,0.0,5730665.43,5559056.43,2023-03-15,2023-03-29,1,0,1,0,0,0,YES,Pickup,7333.3335,1.0,Mastercard,No,YEs,14,Female
642585069a53006421b72c61,Guns and weaponry,0.0,5730665.43,5559056.43,2023-03-15,2023-03-29,1,0,1,0,0,0,YES,Pickup,7333.3335,1.0,Mastercard,No,YEs,14,Female
642585309a53006421b72c62,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,2,Female
642585309a53006421b72c62,others,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,2,Female
642585599a53006421b72c63,,0.0,402304.99,3745.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,2.0,Visa,No,no,83,Male
6425857f9a53006421b72c64,Breakfast,0.0,12001.31,1412.31,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,74,Female
642585a19a53006421b72c65,,0.0,4100.0,458.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,7.0,Visa,No,no,48,Female
642585c59a53006421b72c66,Breakfast,0.0,261676.01,233416.01,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,15000.0,3.0,Visa,No,no,49,Female
642585ee9a53006421b72c67,,0.0,57218.01,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,2.0,Visa,No,no,54,Female
642586169a53006421b72c68,others,0.0,29297.0,993197.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,4.0,Visa,No,no,80,Male
642586359a53006421b72c69,,0.0,4100.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,2.0,Visa,No,no,33,Female
6425865a9a53006421b72c6a,Breakfast,0.0,4500.0,200.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,12,Female
642586829a53006421b72c6b,Condiment,14100.0,8865.77,1381471.77,2023-03-15,2023-03-29,0,0,0,0,5,0,NO,Walk In,3450000.0,20.0,Visa,No,no,85,Male
642586d99a53006421b72c6c,others,0.0,3700.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,61,Male
642587009a53006421b72c6d,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,5,Female
642587009a53006421b72c6d,others,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,5,Female
642587279a53006421b72c6e,Snack,0.0,3058.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,71000.0,1.0,Visa,No,no,31,Female
642587509a53006421b72c6f,Breakfast,0.0,54921.06,49621.06,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,65,Female
642587799a53006421b72c70,,0.0,4100.0,674512.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,12,Female
642587999a53006421b72c71,others,0.0,0.0,0.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,31,Female
642587be9a53006421b72c72,Guns and weaponry,0.0,4100.0,472794.0,2023-03-15,2023-03-29,0,0,1,0,0,0,NO,Pickup,20000.0,7.0,Mastercard,No,YEs,49,Female
642587e69a53006421b72c73,Breakfast,0.0,4100.0,800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,88,Male
6425880b9a53006421b72c74,Dairy,0.0,182436.96,1496066.96,2023-03-15,2023-03-29,1,0,0,0,0,0,NO,Pickup,40000.0,6.0,Visa,No,no,20,Female
642588319a53006421b72c75,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,58,Female
642588569a53006421b72c76,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,78,Female
642588729a53006421b72c77,Personal Care,0.0,7679.0,3379.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,210000.0,1.0,Visa,No,no,90,Female
642588969a53006421b72c78,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,43,Male
642588bf9a53006421b72c79,Breakfast,0.0,4100.0,4800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,74,Male
642588e39a53006421b72c7a,Breakfast,0.0,2740.64,1.64,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,57500.0,,Visa,No,no,71,Male
642588e39a53006421b72c7a,Snack,0.0,2740.64,1.64,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,57500.0,1.0,Visa,No,no,71,Male
6425890d9a53006421b72c7b,,0.0,998465.77,994275.08,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,2.0,Visa,No,no,64,Female
642589369a53006421b72c7c,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,3,Female
642589619a53006421b72c7d,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,56,Female
642589899a53006421b72c7e,,0.0,4100.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,48,Female
642589da9a53006421b72c7f,Personal Care,0.0,256300.0,579.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,249000.0,3.0,Visa,No,no,93,Female
64258a009a53006421b72c80,Breakfast,0.0,4100.0,449800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,7,Female
64258a279a53006421b72c81,Breakfast,0.0,504100.0,499800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,53,Male
64258a279a53006421b72c81,others,0.0,504100.0,499800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,53,Male
64258a4a9a53006421b72c82,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,17,Male
64258a4a9a53006421b72c82,others,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,17,Male
64258a6e9a53006421b72c83,Breakfast,0.0,68026.0,188720.0,2023-03-15,2023-03-29,0,0,0,0,1,0,NO,Pickup,34000.0,1.0,Visa,No,no,7,Male
64258a6e9a53006421b72c83,Alcohol,0.0,68026.0,188720.0,2023-03-15,2023-03-29,0,0,0,0,1,0,NO,Pickup,34000.0,1.0,Visa,No,no,7,Male
64258a6e9a53006421b72c83,Snack,0.0,68026.0,188720.0,2023-03-15,2023-03-29,0,0,0,0,1,0,NO,Pickup,34000.0,1.0,Visa,No,no,7,Male
64258a949a53006421b72c84,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,87,Male
64258ab99a53006421b72c85,Breakfast,0.0,4100.0,149800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,88,Male
64258adf9a53006421b72c86,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,81,Female
64258b049a53006421b72c87,Snack,0.0,0.99,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,5000.0,1.0,Visa,No,no,29,Female
64258b2a9a53006421b72c88,others,0.0,4100.0,28.0,2023-03-15,2023-03-29,0,0,0,0,5,0,YES,Walk In,86500.0,10.0,Visa,No,no,37,Male
64258b529a53006421b72c89,Condiment,0.0,5732.99,5732.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,1,Female
64258b7b9a53006421b72c8a,,0.0,150619.51,69.51,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,2.0,Visa,No,no,77,Male
64258b9f9a53006421b72c8b,Dairy,0.0,11260.0,1.0,2023-03-15,2023-03-29,1,0,0,0,0,0,NO,Pickup,500.0,1.0,Visa,No,no,13,Female
64258b9f9a53006421b72c8b,Breakfast,0.0,11260.0,1.0,2023-03-15,2023-03-29,1,0,0,0,0,0,NO,Pickup,500.0,1.0,Visa,No,no,13,Female
64258bc29a53006421b72c8c,Guns and weaponry,0.0,4100.0,1.0,2023-03-15,2023-03-29,0,0,1,0,0,0,YES,Pickup,2000.0,3.0,Mastercard,No,YEs,62,Male
64258be59a53006421b72c8d,Breakfast,20000.0,13700.0,13700.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,46,Female
64258c089a53006421b72c8e,others,0.0,4100.0,70800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,10.0,Visa,No,no,0,Female
64258c2d9a53006421b72c8f,Alcohol,0.0,4500.0,77560.0,2023-03-15,2023-03-29,0,0,1,0,1,0,NO,Walk In,10500.0,11.0,Visa,No,no,11,Male
64258c2d9a53006421b72c8f,Guns and weaponry,0.0,4500.0,77560.0,2023-03-15,2023-03-29,0,0,1,0,1,0,NO,Walk In,10500.0,11.0,Visa,No,no,11,Male
64258c529a53006421b72c90,Breakfast,0.0,4100.0,1.35,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,57,Female
64258c769a53006421b72c91,,0.0,3300.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,21,Male
64258c9e9a53006421b72c92,Breakfast,0.0,4100.0,4100.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,13,Male
64258cf29a53006421b72c93,Breakfast,0.0,2977177.82,2972877.82,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,0,Female
64258d189a53006421b72c94,others,0.0,0.0,0.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,99,Male
64258d3e9a53006421b72c95,Breakfast,0.0,899911.0,354207.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,5,Male
64258d669a53006421b72c96,Breakfast,0.0,403100.0,229591.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,62,Female
64258d869a53006421b72c97,Breakfast,0.0,4100.0,999799.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,36,Male
64258d869a53006421b72c97,others,0.0,4100.0,999799.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,36,Male
64258da79a53006421b72c98,Bread,0.0,2418.9,6925.89,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,136961.86,4.75,Mastercard,No,YEs,17,Male
64258da79a53006421b72c98,Cheese & Butter,0.0,2418.9,6925.89,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,136961.86,4.75,Mastercard,No,YEs,17,Male
64258da79a53006421b72c98,Condiment,0.0,2418.9,6925.89,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,136961.86,4.75,Mastercard,No,YEs,17,Male
64258da79a53006421b72c98,Personal Care,0.0,2418.9,6925.89,2023-03-15,2023-03-29,0,2,0,0,0,0,NO,Order via website,136961.86,4.75,Mastercard,No,YEs,17,Male
64258dc59a53006421b72c99,Breakfast,0.0,54100.0,54800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,97,Male
64258de69a53006421b72c9a,,0.0,534.34,1.33,2023-03-15,2023-03-29,0,0,0,0,4,0,NO,Walk In,3000.0,8.0,Visa,No,no,5,Male
64258e0a9a53006421b72c9b,Guns and weaponry,0.0,156348.72,95580.72,2023-03-15,2023-03-29,0,0,1,0,0,0,NO,Pickup,51000.0,5.0,Visa,No,no,73,Female
64258e2d9a53006421b72c9c,,0.0,1.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,7.0,Visa,No,no,99,Male
64258e529a53006421b72c9d,Condiment,0.0,4500.0,5200.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,5.0,Visa,No,no,69,Female
64258e769a53006421b72c9e,others,0.0,407155.0,401855.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,53,Male
64258e9b9a53006421b72c9f,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,41,Male
64258ebf9a53006421b72ca0,,0.0,12347.99,1.99,2023-03-15,2023-03-29,0,2,0,0,0,0,YES,Order via website,20000.0,6.0,Visa,No,no,44,Female
64258ee99a53006421b72ca1,Breakfast,0.0,4100.0,97407.31,2023-03-15,2023-03-29,0,0,1,0,0,0,NO,Pickup,3333.3333,1.0,Visa,No,no,27,Female
64258ee99a53006421b72ca1,others,0.0,4100.0,97407.31,2023-03-15,2023-03-29,0,0,1,0,0,0,NO,Pickup,3333.3333,1.0,Visa,No,no,27,Female
64258ee99a53006421b72ca1,Guns and weaponry,0.0,4100.0,97407.31,2023-03-15,2023-03-29,0,0,1,0,0,0,NO,Pickup,3333.3333,1.0,Visa,No,no,27,Female
64258f379a53006421b72ca2,,0.0,9494.76,5194.76,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,3.0,Visa,No,no,26,Male
64258f5a9a53006421b72ca3,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,4,Male
64258f7b9a53006421b72ca4,Breakfast,0.0,292984.74,118404.74,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,15,Male
64258f9b9a53006421b72ca5,Breakfast,0.0,1126.0,1126.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,29,Male
64258fbb9a53006421b72ca6,,0.0,4100.0,214400.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,2.0,Visa,No,no,47,Female
64258fdd9a53006421b72ca7,others,0.0,64100.0,173497.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,80000.0,9.0,Visa,No,no,89,Female
64258ffe9a53006421b72ca8,Baking,9100.0,5800200.0,4017415.0,2023-03-15,2023-03-29,0,0,3,0,4,0,NO,Walk In,1303000.0,10.0,Visa,No,no,36,Female
6425901f9a53006421b72ca9,Snack,0.0,26891074.33,22428728.33,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,3000000.0,1.0,Visa,No,no,44,Male
642590459a53006421b72caa,Breakfast,0.0,84100.0,79800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,97,Female
6425906a9a53006421b72cab,Breakfast,0.0,24100.0,12800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,66,Female
6425908e9a53006421b72cac,Breakfast,0.0,4100.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,0,Male
642590ae9a53006421b72cad,Breakfast,0.0,3100.0,1.01,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,16,Female
642590ce9a53006421b72cae,Breakfast,0.0,4100.0,353159.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,41,Male
642590ef9a53006421b72caf,Breakfast,0.0,4100.0,1.01,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,82,Female
642591129a53006421b72cb0,,0.0,185836.03,181536.03,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,2.0,Visa,No,no,92,Male
6425917c9a53006421b72cb1,Bread,0.0,34543689.95,14288050.45,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,282.48666,4.0,Visa,No,no,42,Female
6425917c9a53006421b72cb1,Cheese & Butter,0.0,34543689.95,14288050.45,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,282.48666,4.0,Visa,No,no,42,Female
6425917c9a53006421b72cb1,Condiment,0.0,34543689.95,14288050.45,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,282.48666,4.0,Visa,No,no,42,Female
642591a09a53006421b72cb2,,0.0,4422137.45,3407061.45,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,3000000.0,2.0,Visa,No,no,82,Female
642591c39a53006421b72cb3,Fresh Fruits,9100.0,4367.53,1.0,2023-03-15,2023-03-29,0,0,1,0,0,0,YES,Pickup,1000.0,7.0,Visa,Yes,YEs,38,Female
642591de9a53006421b72cb4,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,47,Male
642592009a53006421b72cb5,others,0.0,3700.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,4.0,Visa,No,no,92,Male
642592239a53006421b72cb6,Breakfast,15000.0,1057690.0,1511636.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,68,Female
642592439a53006421b72cb7,Organic Foods,0.0,4100.0,196400.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,30000.0,3.0,Visa,No,no,52,Male
642592609a53006421b72cb8,,0.0,3300.0,1.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,4.0,Visa,No,no,83,Male
6425927d9a53006421b72cb9,Breakfast,0.0,194100.0,204800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,97,Male
6425927d9a53006421b72cb9,others,0.0,194100.0,204800.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,97,Male
6425929a9a53006421b72cba,,0.0,24382.72,18682.72,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,2.0,Visa,No,no,34,Male
642592b99a53006421b72cbb,Dairy,0.0,1739726.44,39475.04,2023-03-15,2023-03-29,1,0,2,0,2,0,NO,Walk In,372787.34,18.333334,Mastercard,No,YEs,59,Female
642592b99a53006421b72cbb,Organic Foods,0.0,1739726.44,39475.04,2023-03-15,2023-03-29,1,0,2,0,2,0,NO,Walk In,372787.34,18.333334,Mastercard,No,YEs,59,Female
642592b99a53006421b72cbb,Snack,0.0,1739726.44,39475.04,2023-03-15,2023-03-29,1,0,2,0,2,0,NO,Walk In,372787.34,18.333334,Mastercard,No,YEs,59,Female
642592d89a53006421b72cbc,Breakfast,0.0,4100.0,4100.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,21,Male
